Frequency (Hz)	Level (dB)
11455.664062	-115.442116
11498.730469	-115.597153
11541.796875	-115.719910
11584.863281	-115.628403
11627.929688	-115.636658
11670.996094	-115.672745
11714.062500	-115.558289
11757.128906	-115.688919
11800.195312	-115.555130
11843.261719	-115.600189
11886.328125	-115.838402
11929.394531	-115.812431
11972.460938	-115.755890
12015.527344	-115.495415
12058.593750	-115.447464
12101.660156	-115.578430
12144.726562	-115.592636
12187.792969	-115.488922
12230.859375	-115.496902
12273.925781	-115.591026
12316.992188	-115.579948
12360.058594	-115.578209
12403.125000	-115.563210
12446.191406	-115.616478
12489.257812	-115.731148
12532.324219	-115.724731
12575.390625	-115.635063
12618.457031	-115.629364
12661.523438	-115.606377
12704.589844	-115.666054
12747.656250	-115.593330
12790.722656	-115.555824
12833.789062	-115.618652
12876.855469	-115.464447
12919.921875	-115.441734
12962.988281	-115.586258
13006.054688	-115.630058
13049.121094	-115.669373
13092.187500	-115.603958
13135.253906	-115.672577
13178.320312	-115.586800
13221.386719	-115.637375
13264.453125	-115.729462
13307.519531	-115.721184
13350.585938	-115.563606
13393.652344	-115.603752
13436.718750	-115.759918
13479.785156	-115.656395
13522.851562	-115.682289
13565.917969	-115.675896
13608.984375	-115.680107
13652.050781	-115.741180
13695.117188	-115.587776
13738.183594	-115.518524
13781.250000	-115.639328
13824.316406	-115.605255
13867.382812	-115.611588
13910.449219	-115.531242
13953.515625	-115.649254
13996.582031	-115.696320
14039.648438	-115.631622
14082.714844	-115.661346
14125.781250	-115.694450
14168.847656	-115.602936
14211.914062	-115.685959
14254.980469	-115.761185
14298.046875	-115.831207
14341.113281	-115.701134
14384.179688	-115.717155
14427.246094	-115.550507
14470.312500	-115.418571
14513.378906	-115.521439
14556.445312	-115.569641
14599.511719	-115.521431
14642.578125	-115.426445
14685.644531	-115.615143
14728.710938	-115.517570
14771.777344	-115.483788
14814.843750	-115.590088
14857.910156	-115.457008
14900.976562	-115.369354
14944.042969	-115.465240
14987.109375	-115.667320
15030.175781	-115.645363
15073.242188	-115.523796
15116.308594	-115.496780
15159.375000	-115.533897
15202.441406	-115.576866
15245.507812	-115.646332
15288.574219	-115.535530
15331.640625	-115.632080
15374.707031	-115.696060
15417.773438	-115.651352
15460.839844	-115.676880
15503.906250	-115.701233
15546.972656	-115.725273
15590.039062	-115.443153
15633.105469	-115.547432
15676.171875	-115.667877
15719.238281	-115.472015
15762.304688	-115.453766
15805.371094	-115.518669
15848.437500	-115.479126
15891.503906	-115.662064
15934.570312	-115.825226
15977.636719	-115.760849
16020.703125	-115.638519
16063.769531	-115.625191
16106.835938	-115.781120
16149.902344	-115.679901
16192.968750	-115.754601
16236.035156	-115.646774
16279.101562	-115.582321
16322.167969	-115.673271
16365.234375	-115.789879
16408.300781	-115.691185
16451.367188	-115.422813
16494.433594	-115.538910
16537.500000	-115.696053
16580.566406	-115.624786
16623.632812	-115.566933
16666.699219	-115.600128
16709.765625	-115.567924
16752.832031	-115.653595
16795.898438	-115.619240
16838.964844	-115.684097
16882.031250	-115.669724
16925.097656	-115.694016
16968.164062	-115.686493
17011.230469	-115.625519
17054.296875	-115.725700
17097.363281	-115.740082
17140.429688	-115.688911
17183.496094	-115.578545
17226.562500	-115.553757
17269.628906	-115.561844
17312.695312	-115.480888
17355.761719	-115.558197
17398.828125	-115.563843
17441.894531	-115.620110
17484.960938	-115.589340
17528.027344	-115.577408
17571.093750	-115.575859
17614.160156	-115.638145
17657.226562	-115.604340
17700.292969	-115.553673
17743.359375	-115.582184
17786.425781	-115.585449
17829.492188	-115.504532
17872.558594	-115.581924
17915.625000	-115.525070
